Material Type	MIGO Doc	MIGO DocDt	Reve. Doc	PO Number	PO Date	PO Grp	Prft Code	Profit Centre Name	Plnt Cd	Plant Description	MIRO D.No	MIRO D.Dt	FI DOC No	Sup.	Supplier Name	City	State	MSME	RPT	Material Code	Material Description	UOM	MIGO QTY	MIRO QTY	Unit Price	Curr	Conv. Rt	D/C	Ln Cur	INR Line Value	InvReduVal	CGST Value	SGST Value	IGST Value	Others	Ass. Val.	GST/EXIM Code	Sup. Inv	Sup. In.Dt
Subassembly	5001493017	18.06.2025		4000280847	26.05.2025	108	1010	RANSAR II	1010	RANSAR INDUSTRIES-II	5105882242	20.06.2025	2520035635	1900433	SILICONIX	COIMBATORE	33	YES	YES	232917	P.BOX 1.0HP CSCR DVAM ABS CRI 4" M1	EA	100	99	1,237.00	INR	1	S	1,22,463.00	1,22,463.00	0	11,133.00	11,133.00	0	0	1,22,463.00	33AJUPS1829E1ZY	TI/25-26/0060	18.06.2025
Machined Material	5001495668	19.06.2025		4000266824	16.04.2025	112	1070	NARK INDUSTRIES	1070	NARK INDUSTRIES	5105882243	20.06.2025	2520035636	1900306	SRI GANESH ENGINEERING WORKS	COIMBATORE	33	YES	NO	WD040CS0031	SLEE SS304 S4S-1-14m³	EA	1,000.00	1,000.00	61.51	INR	1	S	61,510.00	61,510.00	0	5,535.90	5,535.90	0	0	61,510.00	33AOOPG7111A1ZJ	SGE/0235/25-26	19.06.2025
Raw materials	5001495668	19.06.2025		4000274465	08.05.2025	112	1070	NARK INDUSTRIES	1070	NARK INDUSTRIES	5105882243	20.06.2025	2520035636	1900306	SRI GANESH ENGINEERING WORKS	COIMBATORE	33	YES	NO	104800	COUP SS329 S8C 42.03D 22.1D 43.5	EA	300	300	221.04	INR	1	S	66,312.00	66,312.00	0	5,968.08	5,968.08	0	0	66,312.00	33AOOPG7111A1ZJ	SGE/0235/25-26	19.06.2025
Machined Material	5001495668	19.06.2025		4000279116	21.05.2025	112	1070	NARK INDUSTRIES	1070	NARK INDUSTRIES	5105882243	20.06.2025	2520035636	1900306	SRI GANESH ENGINEERING WORKS	COIMBATORE	33	YES	NO	WD041CW0061	WASH CP 20.8 6.5 4 SS420 FN	EA	7	7	10.85	INR	1	S	75.95	75.95	0	6.84	6.84	0	0	75.95	33AOOPG7111A1ZJ	SGE/0235/25-26	19.06.2025
Machined Material	5001495668	19.06.2025		4000279117	21.05.2025	112	1070	NARK INDUSTRIES	1070	NARK INDUSTRIES	5105882243	20.06.2025	2520035636	1900306	SRI GANESH ENGINEERING WORKS	COIMBATORE	33	YES	NO	WD041CW0061	WASH CP 20.8 6.5 4 SS420 FN	EA	2,000.00	2,000.00	10.85	INR	1	S	21,700.00	21,700.00	0	1,953.00	1,953.00	0	0	21,700.00	33AOOPG7111A1ZJ	SGE/0235/25-26	19.06.2025
Machined Material	5001495668	19.06.2025		4000279119	21.05.2025	112	1070	NARK INDUSTRIES	1070	NARK INDUSTRIES	5105882243	20.06.2025	2520035636	1900306	SRI GANESH ENGINEERING WORKS	COIMBATORE	33	YES	NO	WD041CW0061	WASH CP 20.8 6.5 4 SS420 FN	EA	139	139	10.85	INR	1	S	1,508.15	1,508.15	0	135.73	135.73	0	0	1,508.15	33AOOPG7111A1ZJ	SGE/0235/25-26	19.06.2025
Machined Material	5001495668	19.06.2025		4400070966	19.06.2025	112	1070	NARK INDUSTRIES	1070	NARK INDUSTRIES	5105882243	20.06.2025	2520035636	1900306	SRI GANESH ENGINEERING WORKS	COIMBATORE	33	YES	NO	184096	SLEE 59 48 72 SS410	EA	10	10	178.4	INR	1	S	1,784.00	1,784.00	0	160.56	160.56	0	0	1,784.00	33AOOPG7111A1ZJ	SGE/0235/25-26	19.06.2025
Subassembly	5001492295	18.06.2025		4000265946	12.04.2025	105	1010	RANSAR II	1010	RANSAR INDUSTRIES-II	5105882245	20.06.2025	2520035638	1900118	GOLDPLAST ENTERPRISES	COIMBATORE	33	YES	NO	252086	BP.4".DIFF ST CRI4R-2-N PPO 20% GF NATUR	EA	5,000.00	5,000.00	14.23	INR	1	S	71,150.00	71,150.00	0	6,403.50	6,403.50	0	0	71,150.00	33AHJPA3148D1ZY	70/25-26	18.06.2025
Machined Material	5001492295	18.06.2025		4000287362	16.06.2025	105	1010	RANSAR II	1010	RANSAR INDUSTRIES-II	5105882245	20.06.2025	2520035638	1900118	GOLDPLAST ENTERPRISES	COIMBATORE	33	YES	NO	WYM40DT0032	DFPL PPO-X/SS304 S4D-1F,2,5 85.8 33.3 ML	EA	18,000.00	18,000.00	8.87	INR	1	S	1,59,660.00	1,59,660.00	0	14,369.40	14,369.40	0	0	1,59,660.00	33AHJPA3148D1ZY	70/25-26	18.06.2025
Subassembly	5001491884	18.06.2025		4000250174	24.02.2025	105	1010	RANSAR II	1010	RANSAR INDUSTRIES-II	5105882246	20.06.2025	2520035639	1900310	MOULDING TECHNOLOGIES	COIMBATORE	33	YES	NO	101982	BRKT TOP PPO-X/NBR R31 37.5 FN	EA	100	100	41.78	INR	1	S	4,178.00	4,178.00	0	376.02
